account_id,customer_id,account_type,account_status,currency_code,branch_code,open_date,available_balance,account_country,relationship_tier
ACCT_DEMO_001,CUST_DEMO_001,OPERATING,ACTIVE,EUR,SYN-BR-002,2025-07-18,32919.00,US,PRIORITY
ACCT_SYN_000002,CUST_SYN_000002,SETTLEMENT,ACTIVE,GBP,SYN-BR-003,2025-07-17,40838.00,GB,STRATEGIC
ACCT_SYN_000003,CUST_SYN_000003,CHECKING,ACTIVE,USD,SYN-BR-004,2025-07-16,48757.00,DE,STANDARD
ACCT_SYN_000004,CUST_SYN_000004,OPERATING,ACTIVE,EUR,SYN-BR-005,2025-07-15,56676.00,SG,PRIORITY
ACCT_SYN_000005,CUST_SYN_000005,SETTLEMENT,ACTIVE,GBP,SYN-BR-006,2025-07-14,64595.00,US,STRATEGIC
ACCT_SYN_000006,CUST_SYN_000006,CHECKING,ACTIVE,USD,SYN-BR-007,2025-07-13,72514.00,GB,STANDARD
ACCT_SYN_000007,CUST_SYN_000007,OPERATING,ACTIVE,EUR,SYN-BR-008,2025-07-12,80433.00,DE,PRIORITY
ACCT_SYN_000008,CUST_SYN_000008,SETTLEMENT,ACTIVE,GBP,SYN-BR-009,2025-07-11,88352.00,SG,STRATEGIC
ACCT_SYN_000009,CUST_SYN_000009,CHECKING,ACTIVE,USD,SYN-BR-010,2025-07-10,96271.00,US,STANDARD
ACCT_SYN_000010,CUST_SYN_000010,OPERATING,ACTIVE,EUR,SYN-BR-011,2025-07-09,104190.00,GB,PRIORITY
ACCT_SYN_000011,CUST_SYN_000011,SETTLEMENT,ACTIVE,GBP,SYN-BR-012,2025-07-08,112109.00,DE,STRATEGIC
ACCT_SYN_000012,CUST_SYN_000012,CHECKING,ACTIVE,USD,SYN-BR-013,2025-07-07,120028.00,SG,STANDARD
ACCT_SYN_000013,CUST_SYN_000013,OPERATING,ACTIVE,EUR,SYN-BR-014,2025-07-06,127947.00,US,PRIORITY
ACCT_SYN_000014,CUST_SYN_000014,SETTLEMENT,ACTIVE,GBP,SYN-BR-015,2025-07-05,135866.00,GB,STRATEGIC
ACCT_SYN_000015,CUST_SYN_000015,CHECKING,ACTIVE,USD,SYN-BR-016,2025-07-04,143785.00,DE,STANDARD
ACCT_SYN_000016,CUST_SYN_000016,OPERATING,ACTIVE,EUR,SYN-BR-017,2025-07-03,151704.00,SG,PRIORITY
ACCT_SYN_000017,CUST_SYN_000017,SETTLEMENT,ACTIVE,GBP,SYN-BR-018,2025-07-02,159623.00,US,STRATEGIC
ACCT_SYN_000018,CUST_SYN_000018,CHECKING,ACTIVE,USD,SYN-BR-019,2025-07-01,167542.00,GB,STANDARD
ACCT_SYN_000019,CUST_SYN_000019,OPERATING,ACTIVE,EUR,SYN-BR-020,2025-06-30,175461.00,DE,PRIORITY
ACCT_SYN_000020,CUST_SYN_000020,SETTLEMENT,ACTIVE,GBP,SYN-BR-001,2025-06-29,183380.00,SG,STRATEGIC
ACCT_SYN_000021,CUST_SYN_000021,CHECKING,ACTIVE,USD,SYN-BR-002,2025-06-28,191299.00,US,STANDARD
ACCT_SYN_000022,CUST_SYN_000022,OPERATING,ACTIVE,EUR,SYN-BR-003,2025-06-27,199218.00,GB,PRIORITY
ACCT_SYN_000023,CUST_SYN_000023,SETTLEMENT,ACTIVE,GBP,SYN-BR-004,2025-06-26,207137.00,DE,STRATEGIC
ACCT_SYN_000024,CUST_SYN_000024,CHECKING,ACTIVE,USD,SYN-BR-005,2025-06-25,215056.00,SG,STANDARD
ACCT_SYN_000025,CUST_SYN_000025,OPERATING,ACTIVE,EUR,SYN-BR-006,2025-06-24,222975.00,US,PRIORITY
ACCT_SYN_000026,CUST_SYN_000026,SETTLEMENT,ACTIVE,GBP,SYN-BR-007,2025-06-23,230894.00,GB,STRATEGIC
ACCT_SYN_000027,CUST_SYN_000027,CHECKING,ACTIVE,USD,SYN-BR-008,2025-06-22,238813.00,DE,STANDARD
ACCT_SYN_000028,CUST_SYN_000028,OPERATING,ACTIVE,EUR,SYN-BR-009,2025-06-21,246732.00,SG,PRIORITY
ACCT_SYN_000029,CUST_SYN_000029,SETTLEMENT,ACTIVE,GBP,SYN-BR-010,2025-06-20,254651.00,US,STRATEGIC
ACCT_SYN_000030,CUST_SYN_000030,CHECKING,ACTIVE,USD,SYN-BR-011,2025-06-19,262570.00,GB,STANDARD
ACCT_SYN_000031,CUST_SYN_000031,OPERATING,ACTIVE,EUR,SYN-BR-012,2025-06-18,270489.00,DE,PRIORITY
ACCT_SYN_000032,CUST_SYN_000032,SETTLEMENT,ACTIVE,GBP,SYN-BR-013,2025-06-17,278408.00,SG,STRATEGIC
ACCT_SYN_000033,CUST_SYN_000033,CHECKING,ACTIVE,USD,SYN-BR-014,2025-06-16,286327.00,US,STANDARD
ACCT_SYN_000034,CUST_SYN_000034,OPERATING,ACTIVE,EUR,SYN-BR-015,2025-06-15,294246.00,GB,PRIORITY
ACCT_SYN_000035,CUST_SYN_000035,SETTLEMENT,ACTIVE,GBP,SYN-BR-016,2025-06-14,302165.00,DE,STRATEGIC
ACCT_SYN_000036,CUST_SYN_000036,CHECKING,ACTIVE,USD,SYN-BR-017,2025-06-13,310084.00,SG,STANDARD
ACCT_SYN_000037,CUST_SYN_000037,OPERATING,ACTIVE,EUR,SYN-BR-018,2025-06-12,318003.00,US,PRIORITY
ACCT_SYN_000038,CUST_SYN_000038,SETTLEMENT,ACTIVE,GBP,SYN-BR-019,2025-06-11,325922.00,GB,STRATEGIC
ACCT_SYN_000039,CUST_SYN_000039,CHECKING,ACTIVE,USD,SYN-BR-020,2025-06-10,333841.00,DE,STANDARD
ACCT_SYN_000040,CUST_SYN_000040,OPERATING,ACTIVE,EUR,SYN-BR-001,2025-06-09,341760.00,SG,PRIORITY
